Asset Type,Date,Usage Time,Last Maintenance Date,Stock Level,Reorder Point,Equipment Status,Usage Pattern
Anesthesia Machine,01-01-2022,8,01-01-2022,5,3,Operational,As needed
PPE Kit,01-01-2022,11,01-01-2022,8,5,Operational,As needed
Surgical Gloves,01-01-2022,9,01-01-2022,6,2,Operational,As needed
Heart Monitor,01-01-2022,8,01-01-2022,5,3,Operational,As needed
X-Ray Machine,01-01-2022,8,01-01-2022,5,3,Operational,As needed
Surgical Gloves,01-02-2022,4,01-02-2022,1,1,Operational,As needed
Anesthesia Machine,01-02-2022,8,01-02-2022,5,3,Operational,As needed
PPE Kit,01-02-2022,12,01-02-2022,9,4,Operational,As needed
X-Ray Machine,01-02-2022,8,01-02-2022,5,3,Operational,As needed
Heart Monitor,01-02-2022,8,01-02-2022,5,3,Operational,As needed
Anesthesia Machine,01-03-2022,8,01-03-2022,5,3,Operational,As needed
PPE Kit,01-03-2022,10,01-03-2022,7,1,Operational,As needed
Heart Monitor,01-03-2022,8,01-03-2022,5,3,Operational,As needed
Surgical Gloves,01-03-2022,10,01-03-2022,7,9,Operational,As needed
X-Ray Machine,01-03-2022,8,01-03-2022,5,3,Operational,As needed
PPE Kit,01-04-2022,5,01-04-2022,2,6,Operational,As needed
Surgical Gloves,01-04-2022,9,01-04-2022,6,3,Operational,As needed
Heart Monitor,01-04-2022,8,01-04-2022,5,3,Operational,As needed
Anesthesia Machine,01-04-2022,8,01-04-2022,5,3,Operational,As needed
X-Ray Machine,01-04-2022,8,01-04-2022,5,3,Operational,As needed
PPE Kit,01-05-2022,11,01-05-2022,8,9,Operational,As needed
Surgical Gloves,01-05-2022,8,01-05-2022,5,8,Operational,As needed
Heart Monitor,01-05-2022,8,01-05-2022,5,3,Operational,As needed
X-Ray Machine,01-05-2022,8,01-05-2022,5,3,Operational,As needed
Anesthesia Machine,01-05-2022,8,01-05-2022,5,3,Operational,As needed
Anesthesia Machine,01-06-2022,8,01-06-2022,5,3,Operational,As needed
X-Ray Machine,01-06-2022,8,01-06-2022,5,3,Operational,As needed
Surgical Gloves,01-06-2022,5,01-06-2022,2,7,Operational,As needed
Heart Monitor,01-06-2022,8,01-06-2022,5,3,Operational,As needed
PPE Kit,01-06-2022,4,01-06-2022,1,1,Operational,As needed
Heart Monitor,01-07-2022,8,01-07-2022,5,3,Operational,As needed
X-Ray Machine,01-07-2022,8,01-07-2022,5,3,Operational,As needed
Anesthesia Machine,01-07-2022,8,01-07-2022,5,3,Operational,As needed
PPE Kit,01-07-2022,12,01-07-2022,9,8,Operational,As needed
Surgical Gloves,01-07-2022,9,01-07-2022,6,3,Operational,As needed
PPE Kit,01-08-2022,7,01-08-2022,4,1,Operational,As needed
Surgical Gloves,01-08-2022,12,01-08-2022,9,8,Operational,As needed
Heart Monitor,01-08-2022,8,01-08-2022,5,3,Operational,As needed
Anesthesia Machine,01-08-2022,8,01-08-2022,5,3,Operational,As needed
X-Ray Machine,01-08-2022,8,01-08-2022,5,3,Operational,As needed
PPE Kit,01-09-2022,12,01-09-2022,9,9,Operational,As needed
Surgical Gloves,01-09-2022,9,01-09-2022,6,4,Operational,As needed
Heart Monitor,01-09-2022,8,01-09-2022,5,3,Operational,As needed
X-Ray Machine,01-09-2022,8,01-09-2022,5,3,Operational,As needed
Anesthesia Machine,01-09-2022,8,01-09-2022,5,3,Operational,As needed
Anesthesia Machine,01-10-2022,8,01-10-2022,5,3,Operational,As needed
Heart Monitor,01-10-2022,8,01-10-2022,5,3,Operational,As needed
Surgical Gloves,01-10-2022,8,01-10-2022,5,2,Operational,As needed
PPE Kit,01-10-2022,12,01-10-2022,9,7,Operational,As needed
X-Ray Machine,01-10-2022,8,01-10-2022,5,3,Operational,As needed
PPE Kit,01-11-2022,9,01-11-2022,6,8,Operational,As needed
Surgical Gloves,01-11-2022,4,01-11-2022,1,1,Operational,As needed
Heart Monitor,01-11-2022,8,01-11-2022,5,3,Operational,As needed
X-Ray Machine,01-11-2022,8,01-11-2022,5,3,Operational,As needed
Anesthesia Machine,01-11-2022,8,01-11-2022,5,3,Operational,As needed
PPE Kit,01-12-2022,7,01-12-2022,4,4,Operational,As needed
Surgical Gloves,01-12-2022,12,01-12-2022,9,7,Operational,As needed
Heart Monitor,01-12-2022,8,01-12-2022,5,3,Operational,As needed
X-Ray Machine,01-12-2022,8,01-12-2022,5,3,Operational,As needed
Anesthesia Machine,01-12-2022,8,01-12-2022,5,3,Operational,As needed
Anesthesia Machine,1/13/2022,8,1/13/2022,5,3,Operational,As needed
PPE Kit,1/13/2022,12,1/13/2022,9,7,Operational,As needed
Heart Monitor,1/13/2022,8,1/13/2022,5,3,Operational,As needed
Surgical Gloves,1/13/2022,11,1/13/2022,8,8,Operational,As needed
X-Ray Machine,1/13/2022,8,1/13/2022,5,3,Operational,As needed
PPE Kit,1/14/2022,10,1/14/2022,7,1,Operational,As needed
Surgical Gloves,1/14/2022,4,1/14/2022,1,2,Operational,As needed
Heart Monitor,1/14/2022,8,1/14/2022,5,3,Operational,As needed
X-Ray Machine,1/14/2022,8,1/14/2022,5,3,Operational,As needed
Anesthesia Machine,1/14/2022,8,1/14/2022,5,3,Operational,As needed
Anesthesia Machine,1/15/2022,8,1/15/2022,5,3,Operational,As needed
